City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
259,Talovaya,RU,71.37,broken clouds,51.1144,40.73,Gostinitsa
260,Mogadishu,SO,75.72,light rain,2.0371,45.3438,Hotel Juba
262,Altay,CN,60.03,scattered clouds,47.8667,88.1167,Jinqiao Hotel
264,Tatarka,RU,66.02,overcast clouds,44.9589,41.9517,"Sofi De Lyuks, Gostinichnyy Kompleks"
265,Luz,BR,77.5,clear sky,-19.8014,-45.6856,Hotel Turista
266,Manado,ID,75.97,scattered clouds,1.487,124.8455,Aryaduta Hotel
267,Trat,TH,78.87,overcast clouds,12.5,102.5,สวนหนิง-อัศ
268,Jalu,LY,84.11,clear sky,29.0331,21.5482,صاحبة الفخامة
271,Ierapetra,GR,77.94,clear sky,35.01,25.7353,Cretan Villa Hotel & Apartments in Ierapetra Crete.
274,Januaria,BR,81.41,scattered clouds,-15.4833,-44.3667,Hotel Paraguassu
276,Chapleau,CA,78.89,few clouds,47.8405,-83.4034,Nemegosenda Lake Lodge
277,Calama,CL,64.89,scattered clouds,-22.4667,-68.9333,Park Hotel Calama
279,Sijunjung,ID,70.16,overcast clouds,-0.6876,100.9537,Hotel Bukik Gadang
280,Martinez,US,88.11,clear sky,38.0194,-122.1341,Best Western John Muir Inn
281,Taman,RU,77.95,clear sky,45.2117,36.7161,Staryy Gorod G. Taman'
282,Murighiol,RO,75.69,scattered clouds,45.0333,29.1667,Cristian
283,Raichur,IN,75.7,overcast clouds,16.2,77.3667,Hotel CM Residency
286,Gambela,ET,70.25,overcast clouds,8.25,34.5833,Solomon Debebe Hotel
289,Muscat,OM,87.82,few clouds,23.6139,58.5922,Mutrah Hotel
290,Vilhena,BR,88.02,clear sky,-12.7406,-60.1458,Hotel Mirage
291,Floriano,BR,86.16,broken clouds,-6.7669,-43.0225,Hotel Maktub
293,Margate,GB,63.9,broken clouds,51.3813,1.3862,Premier Inn Margate hotel
294,Katol,IN,76.69,light rain,21.2667,78.5833,Rocks Celibration lawn
295,Charallave,VE,82.67,overcast clouds,10.2425,-66.8572,Travesías Travel
297,Naze,JP,79.72,overcast clouds,28.3667,129.4833,Shishime Hotel
300,Mareeba,AU,65.44,few clouds,-17.0,145.4333,Trinity Plains Tourist Park
302,Iberia,US,87.96,clear sky,29.9502,-91.7507,back to back rv park
303,Nicoya,CR,82.63,broken clouds,10.1483,-85.452,Las Cabinas Del Sueño
307,Pasni,PK,80.35,overcast clouds,25.2631,63.471,Kashmiri Hotal
308,Kaukauna,US,85.08,scattered clouds,44.278,-88.272,"Country Inn & Suites by Radisson, Appleton North, WI"
312,Chegdomyn,RU,64.8,overcast clouds,51.1167,133.0167,Gostinitsa Bureya
