City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
249,Eyl,SO,2022-07-20 05:51:03,7.9803,49.8164,299.74,43,84,12.5
250,Codrington,AU,2022-07-20 05:51:03,-38.2667,141.9667,285.38,62,3,2.17
251,Pacora,PA,2022-07-20 05:51:05,9.0833,-79.2833,299.36,90,40,1.54
252,Asfi,MA,2022-07-20 05:51:05,32.2994,-9.2372,294.09,79,24,6.34
253,Lompoc,US,2022-07-20 05:51:06,34.6391,-120.4579,286.81,96,100,2.06
254,Yendi,GH,2022-07-20 05:51:07,9.4427,-0.0099,294.38,88,25,2.62
255,Paamiut,GL,2022-07-20 05:51:08,61.994,-49.6678,280.61,94,100,0.86
256,Noumea,NC,2022-07-20 05:51:09,-22.2763,166.4572,298.15,99,100,1.55
257,Lampang,TH,2022-07-20 05:51:09,18.3333,99.5,305.25,77,40,1.54
258,Nemuro,JP,2022-07-20 05:51:10,43.3236,145.575,287.96,93,100,5.73
259,Najran,SA,2022-07-20 05:51:10,17.4924,44.1277,302.51,32,100,4.92
260,Listvyanka,RU,2022-07-20 05:51:11,51.8535,104.8693,287.93,72,57,1.62
261,Oranjemund,NA,2022-07-20 05:51:12,-28.55,16.4333,282.99,79,0,4.6
262,Esmeraldas,BR,2022-07-20 05:51:13,-19.7625,-44.3139,289.63,78,0,1.42
263,Touros,BR,2022-07-20 05:51:14,-5.1989,-35.4608,295.21,90,6,7.2
264,Namuac,PH,2022-07-20 05:51:15,18.6109,121.1657,305.74,64,7,5.01
265,Nishihara,JP,2022-07-20 05:46:43,26.1842,127.7558,306.96,72,40,6.17
266,Payo,ID,2022-07-20 05:51:16,-3.7508,103.6372,306.69,47,29,0.97
267,Vardo,NO,2022-07-20 05:51:16,70.3705,31.1107,286.14,94,100,7.2
268,Kinwat,IN,2022-07-20 05:51:17,19.6333,78.2,301.68,71,49,6.09
269,Batagay,RU,2022-07-20 05:51:18,67.6333,134.6333,285.35,59,93,4.14
270,Hofn,IS,2022-07-20 05:51:19,64.2539,-15.2082,283.16,78,100,6.24
271,Boleslawiec,PL,2022-07-20 05:52:20,51.2642,15.5697,298.05,42,13,1.02
272,Bethel,US,2022-07-20 05:51:38,41.3712,-73.414,298.45,82,0,0.0
273,Waipawa,NZ,2022-07-20 05:52:21,-41.4122,175.5153,281.65,94,100,4.73
274,Altamont,US,2022-07-20 05:52:22,42.2068,-121.7372,298.06,29,0,3.6
275,Madang,PG,2022-07-20 05:52:23,-5.2246,145.7966,301.84,71,82,3.06
276,Riyadh,SA,2022-07-20 05:44:56,24.6877,46.7219,311.23,8,50,8.97
277,Saiki,JP,2022-07-20 05:52:24,32.95,131.9,301.5,81,95,1.23
278,Vikravandi,IN,2022-07-20 05:52:25,12.0333,79.55,308.38,43,78,2.85
279,Haverfordwest,GB,2022-07-20 05:52:25,51.8017,-4.9691,288.74,91,75,2.24
280,Markapur,IN,2022-07-20 05:52:27,15.7333,79.2833,306.55,47,91,4.3
281,Kargil,IN,2022-07-20 05:52:27,34.5667,76.1,294.96,33,4,0.77
282,Dunedin,NZ,2022-07-20 05:52:28,-45.8742,170.5036,282.48,91,100,1.79
283,Marrakesh,MA,2022-07-20 05:51:11,31.6315,-8.0083,302.19,42,40,2.57
284,Praia,CV,2022-07-20 05:49:04,14.9215,-23.5087,297.45,88,20,2.57
285,Arona,ES,2022-07-20 05:52:30,28.0996,-16.681,297.59,73,20,1.54
286,Liyang,CN,2022-07-20 05:52:30,29.7057,118.2862,309.08,48,80,5.52
287,Saint-Michel-Des-Saints,CA,2022-07-20 05:52:31,46.6834,-73.9159,285.16,90,52,1.02
288,Mopipi,BW,2022-07-20 05:52:31,-21.1833,24.8833,287.53,67,84,2.97
289,Doische,BE,2022-07-20 05:52:32,50.1336,4.7355,294.06,73,75,4.63
290,Abalak,RU,2022-07-20 05:52:34,58.1286,68.5944,296.38,58,100,2.49
291,Rojhan,PK,2022-07-20 05:52:34,28.6868,69.9534,310.02,43,65,6.24
292,Katsuura,JP,2022-07-20 05:52:35,35.1333,140.3,301.09,76,77,3.28
293,Karpathos,GR,2022-07-20 05:52:36,35.507,27.2132,296.13,83,20,15.43
294,Nago,JP,2022-07-20 05:52:36,26.5881,127.9761,307.39,75,44,5.74
295,Diplo,PK,2022-07-20 05:52:37,24.4667,69.584,305.79,61,97,8.39
296,Morden,CA,2022-07-20 05:48:31,49.1919,-98.1014,294.07,78,97,5.14
297,Prainha,BR,2022-07-20 05:52:38,-1.8,-53.48,295.69,94,43,0.98
298,Tabas,IR,2022-07-20 05:52:39,33.5959,56.9244,309.02,11,0,3.1
299,Pitsunda,GE,2022-07-20 05:52:40,43.1592,40.3378,295.25,79,93,3.98
