City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
107,Cairns,AU,-16.9167,145.7667,70.07,100,52,0.0,broken clouds
108,Teruel,ES,40.6667,-0.6667,67.08,61,69,4.09,broken clouds
109,Lata,PT,40.1629,-8.3327,66.81,93,1,2.08,clear sky
110,Batagay-Alyta,RU,67.8006,130.4114,48.34,81,100,3.6,overcast clouds
111,Batagay,RU,67.6333,134.6333,51.21,82,100,2.33,light rain
112,Susanville,US,40.4163,-120.653,84.9,40,0,11.5,clear sky
113,Charlestown,AU,-32.95,151.6667,56.07,82,0,8.99,clear sky
114,Parangan,PH,5.0839,119.9383,81.48,77,86,4.23,overcast clouds
115,Prudy,RU,57.5738,46.2718,65.12,72,96,3.8,overcast clouds
116,Souillac,MU,-20.5167,57.5167,70.18,78,40,11.5,scattered clouds
117,Husavik,IS,66.0449,-17.3389,50.92,77,4,3.04,clear sky
118,Namatanai,PG,-3.6667,152.4333,78.57,77,100,2.48,overcast clouds
119,Uvalde,US,29.3669,-99.767,100.31,24,0,9.22,clear sky
120,Hualahuises,MX,24.8847,-99.6733,101.39,18,51,16.31,broken clouds
121,Dalbandin,PK,28.8947,64.4101,90.21,22,0,4.29,clear sky
122,Wanning,CN,18.8003,110.3967,80.19,87,81,4.61,broken clouds
123,Ostrovnoy,RU,68.0531,39.5131,63.86,80,96,19.13,light rain
124,Sibu,MY,2.3,111.8167,73.71,94,40,2.3,scattered clouds
125,Nabire,ID,-3.3667,135.4833,75.88,94,100,3.94,overcast clouds
126,Kirakira,SB,-10.4544,161.9205,80.64,80,50,8.39,scattered clouds
127,Hithadhoo,MV,-0.6,73.0833,82.02,74,97,12.01,overcast clouds
128,Kutum,SD,14.2,24.6667,82.11,45,66,6.42,broken clouds
129,Ostersund,SE,63.1792,14.6357,54.05,76,94,3.44,overcast clouds
130,Sayyan,YE,15.1718,44.3244,59.72,79,72,1.83,broken clouds
131,Weiser,US,44.251,-116.9693,94.32,18,100,3.0,overcast clouds
132,Atuona,PF,-9.8,-139.0333,77.13,71,69,13.47,broken clouds
133,Usinsk,RU,65.9939,57.5281,60.22,86,93,8.32,overcast clouds
134,Tuatapere,NZ,-46.1333,167.6833,46.69,92,86,4.32,light rain
135,Castro,BR,-24.7911,-50.0119,60.21,65,0,5.14,clear sky
136,Kaniama,CD,-7.5667,24.1833,73.76,32,38,4.92,scattered clouds
137,Mbarara,UG,-0.608,30.65,69.76,59,90,1.86,overcast clouds
138,Kingisepp,RU,59.3733,28.6134,67.26,83,79,5.57,broken clouds
139,Hurghada,EG,27.2574,33.8129,89.42,41,100,10.89,overcast clouds
140,Auray,FR,47.6703,-2.9918,63.75,61,0,15.41,clear sky
141,Grand-Lahou,CI,5.1367,-5.0242,74.37,78,76,7.11,broken clouds
142,Bollnas,SE,61.3482,16.3946,58.15,91,99,1.9,overcast clouds
143,Troy,US,42.6056,-83.1499,88.47,73,40,4.61,scattered clouds
144,Kamyshla,RU,54.1169,52.1426,64.96,61,6,5.82,clear sky
145,Esperance,AU,-33.8667,121.9,51.75,80,100,6.85,overcast clouds
146,Chik,RU,54.9928,82.4311,53.35,81,0,4.47,clear sky
147,Asfi,MA,32.2994,-9.2372,70.57,85,0,17.0,clear sky
148,Najran,SA,17.4924,44.1277,79.45,50,98,7.81,overcast clouds
149,Saint-Philippe,RE,-21.3585,55.7679,65.79,75,26,10.42,scattered clouds
150,Saldanha,ZA,-33.0117,17.9442,55.9,90,2,8.61,clear sky
151,Dingle,PH,10.9995,122.6711,74.73,91,100,2.77,overcast clouds
152,Adrar,MR,20.5022,-10.0711,100.42,21,61,10.07,broken clouds
153,Pevek,RU,69.7008,170.3133,34.32,99,100,7.83,snow
154,Sikeston,US,36.8767,-89.5879,88.25,74,75,6.91,broken clouds
155,Lebu,CL,-37.6167,-73.65,51.87,93,100,5.19,overcast clouds
156,Olafsvik,IS,64.8945,-23.7142,52.74,92,100,17.11,overcast clouds
157,Longyearbyen,SJ,78.2186,15.6401,49.84,87,75,1.14,broken clouds
158,Carlagan,PH,14.975,122.0456,77.54,89,100,8.61,overcast clouds
159,Lincoln,US,40.8,-96.667,98.51,34,0,13.8,clear sky
160,Coihaique,CL,-45.5752,-72.0662,41.61,65,0,5.75,clear sky
161,Huautla,MX,21.0333,-98.2833,91.45,36,90,10.31,overcast clouds
162,Ust-Kuyga,RU,70.0167,135.6,48.97,75,100,6.64,overcast clouds
163,Pochutla,MX,15.7432,-96.4661,83.82,72,100,6.69,overcast clouds
164,Finschhafen,PG,-6.6024,147.8681,79.11,77,100,8.75,overcast clouds
165,Salinopolis,BR,-0.6136,-47.3561,80.8,77,90,13.22,overcast clouds
166,Yeppoon,AU,-23.1333,150.7333,65.98,93,2,3.65,clear sky
167,Teguldet,RU,57.3064,88.1667,51.12,74,36,4.59,scattered clouds
168,Kipini,KE,-2.5257,40.5262,73.69,73,0,17.78,clear sky
169,Mongomo,GQ,1.6274,11.3135,68.32,97,99,3.4,light rain
170,Kalundborg,DK,55.6795,11.0886,61.95,67,49,22.7,scattered clouds
171,Westport,US,41.1415,-73.3579,90.95,63,0,6.91,clear sky
172,Wagar,SD,16.1525,36.2032,79.61,71,100,8.57,overcast clouds
173,Muhos,FI,64.808,25.9931,64.18,99,100,4.14,light rain
174,Dharchula,IN,29.85,80.5333,72.37,94,100,1.1,overcast clouds
175,Ancud,CL,-41.8697,-73.8203,44.22,71,6,6.82,clear sky
176,Merauke,ID,-8.4667,140.3333,76.6,92,91,11.12,overcast clouds
177,Bandarbeyla,SO,9.4942,50.8122,75.97,81,10,32.73,clear sky
178,Evensk,RU,61.95,159.2333,51.98,98,100,7.67,overcast clouds
179,Rudraprayag,IN,30.2833,78.9833,74.44,94,38,1.9,scattered clouds
180,Madimba,TZ,-10.4,40.3333,70.59,82,29,8.68,scattered clouds
181,Truckee,US,39.328,-120.1833,72.16,81,100,1.99,overcast clouds
182,Machali,CL,-34.1833,-70.6667,58.28,41,0,6.91,clear sky
183,Chipiona,ES,36.7366,-6.437,78.31,94,0,3.44,clear sky
184,Poum,NC,-20.2333,164.0167,74.98,83,11,10.63,few clouds
185,Cobija,BO,-11.0267,-68.7692,82.58,78,75,9.22,thunderstorm
186,Luderitz,NA,-26.6481,15.1594,61.43,64,65,5.01,broken clouds
187,Autun,FR,46.95,4.3,64.11,73,100,3.67,overcast clouds
188,Tromso,NO,69.6496,18.957,52.38,66,0,5.75,clear sky
189,Iisaku,EE,59.1014,27.3081,68.99,82,8,8.9,clear sky
190,Matara,LK,5.9485,80.5353,77.31,85,100,11.23,overcast clouds
191,Joshimath,IN,30.5667,79.5667,69.94,88,87,2.24,overcast clouds
192,Progreso,MX,21.2833,-89.6667,93.31,69,16,18.41,few clouds
193,Dwarka,IN,22.2394,68.9678,80.94,84,100,9.62,heavy intensity rain
194,Muana,BR,-1.5283,-49.2167,82.36,71,95,3.0,overcast clouds
195,Katsuura,JP,35.1333,140.3,72.9,81,100,7.4,overcast clouds
196,Cherskiy,RU,68.75,161.3,50.72,63,100,10.0,overcast clouds
197,Suntar,RU,62.1444,117.6319,48.02,96,100,7.9,overcast clouds
198,Pitimbu,BR,-7.4706,-34.8086,75.79,78,3,10.8,clear sky
199,Wundanyi,KE,-3.4019,38.364,56.03,78,15,6.17,few clouds
200,Qaanaaq,GL,77.484,-69.3632,43.11,63,8,1.88,clear sky
201,Varadero,CU,23.1536,-81.2514,81.36,73,29,22.73,scattered clouds
202,Zhigansk,RU,66.7697,123.3711,49.08,93,100,16.82,light rain
203,Alekseyevka,RU,50.6309,38.6903,68.72,70,100,8.79,overcast clouds
204,Kismayo,SO,-0.3582,42.5454,74.84,76,15,18.34,few clouds
205,Upernavik,GL,72.7868,-56.1549,42.04,93,97,10.78,overcast clouds
206,Ratnagiri,IN,16.9833,73.3,77.41,92,99,19.64,overcast clouds
207,Tigil,RU,57.8,158.6667,57.31,75,100,5.19,overcast clouds
208,Nome,US,64.5011,-165.4064,54.16,82,100,10.36,overcast clouds
209,Kloulklubed,PW,7.0419,134.2556,75.7,76,44,8.21,scattered clouds
210,Port-Gentil,GA,-0.7193,8.7815,75.16,78,20,8.05,few clouds
211,Stornoway,GB,58.2093,-6.3865,53.92,81,100,3.44,overcast clouds
212,Iqaluit,CA,63.7506,-68.5145,46.13,90,75,5.75,broken clouds
213,Machinga,MW,-15.1685,35.3,65.14,54,0,4.25,clear sky
214,Mandalgovi,MN,45.7625,106.2708,68.16,54,31,9.19,scattered clouds
215,Rio Grande,BR,-0.9156,-48.0594,80.22,77,86,5.99,overcast clouds
216,Roald,NO,62.5833,6.1333,56.91,76,75,16.11,light rain
217,Terney,RU,45.0503,136.6092,68.77,99,99,4.25,overcast clouds
218,Myitkyina,MM,25.3833,97.4,72.66,99,79,1.77,broken clouds
219,Boa Vista,PT,41.0667,-8.6333,71.47,81,52,3.85,broken clouds
220,Sorland,NO,67.667,12.6934,53.46,82,99,32.5,overcast clouds
221,Labuhan,ID,-6.8844,112.2051,73.47,89,24,8.23,few clouds
